epoch:001 | iter:00087 | Loss: 1.989 | top1Acc: 27.972% 
epoch:001 | iter:00088 | Loss: 1.988 | top1Acc: 28.027% 
epoch:001 | iter:00089 | Loss: 1.986 | top1Acc: 28.151% 
epoch:001 | iter:00090 | Loss: 1.984 | top1Acc: 28.220% 
epoch:001 | iter:00091 | Loss: 1.981 | top1Acc: 28.357% 
epoch:001 | iter:00092 | Loss: 1.979 | top1Acc: 28.414% 
epoch:001 | iter:00093 | Loss: 1.979 | top1Acc: 28.453% 
epoch:001 | iter:00094 | Loss: 1.977 | top1Acc: 28.557% 
epoch:001 | iter:00095 | Loss: 1.976 | top1Acc: 28.594% 
epoch:001 | iter:00096 | Loss: 1.975 | top1Acc: 28.662% 
epoch:001 | iter:00097 | Loss: 1.974 | top1Acc: 28.681% 
epoch:001 | iter:00098 | Loss: 1.972 | top1Acc: 28.707% 
epoch:001 | iter:00099 | Loss: 1.969 | top1Acc: 28.843% 
epoch:001 | iter:00100 | Loss: 1.966 | top1Acc: 28.914% 
epoch:001 | iter:00101 | Loss: 1.966 | top1Acc: 28.914% 
epoch:001 | iter:00102 | Loss: 1.965 | top1Acc: 28.998% 
epoch:001 | iter:00103 | Loss: 1.965 | top1Acc: 29.012% 
epoch:001 | iter:00104 | Loss: 1.962 | top1Acc: 29.154% 
epoch:001 | iter:00105 | Loss: 1.959 | top1Acc: 29.249% 
epoch:001 | iter:00106 | Loss: 1.958 | top1Acc: 29.297% 
epoch:001 | iter:00107 | Loss: 1.956 | top1Acc: 29.432% 
epoch:001 | iter:00108 | Loss: 1.955 | top1Acc: 29.463% 
epoch:001 | iter:00109 | Loss: 1.952 | top1Acc: 29.573% 
epoch:001 | iter:00110 | Loss: 1.951 | top1Acc: 29.695% 
epoch:001 | iter:00111 | Loss: 1.947 | top1Acc: 29.821% 
epoch:001 | iter:00112 | Loss: 1.944 | top1Acc: 29.939% 
epoch:001 | iter:00113 | Loss: 1.942 | top1Acc: 29.957% 
epoch:001 | iter:00114 | Loss: 1.939 | top1Acc: 30.071% 
epoch:001 | iter:00115 | Loss: 1.938 | top1Acc: 30.211% 
epoch:001 | iter:00116 | Loss: 1.936 | top1Acc: 30.280% 
epoch:001 | iter:00117 | Loss: 1.932 | top1Acc: 30.442% 
epoch:001 | iter:00118 | Loss: 1.928 | top1Acc: 30.535% 
epoch:001 | iter:00119 | Loss: 1.926 | top1Acc: 30.587% 
epoch:001 | iter:00120 | Loss: 1.923 | top1Acc: 30.671% 
epoch:001 | iter:00121 | Loss: 1.920 | top1Acc: 30.740% 
epoch:001 | iter:00122 | Loss: 1.918 | top1Acc: 30.815% 
epoch:001 | iter:00123 | Loss: 1.918 | top1Acc: 30.824% 
epoch:001 | iter:00124 | Loss: 1.917 | top1Acc: 30.834% 
epoch:001 | iter:00125 | Loss: 1.917 | top1Acc: 30.881% 
epoch:001 | iter:00126 | Loss: 1.914 | top1Acc: 30.983% 
epoch:001 | iter:00127 | Loss: 1.911 | top1Acc: 31.047% 
epoch:001 | iter:00128 | Loss: 1.909 | top1Acc: 31.091% 
epoch:001 | iter:00129 | Loss: 1.907 | top1Acc: 31.141% 
epoch:001 | iter:00130 | Loss: 1.906 | top1Acc: 31.196% 
epoch:001 | iter:00131 | Loss: 1.904 | top1Acc: 31.244% 
epoch:001 | iter:00132 | Loss: 1.901 | top1Acc: 31.333% 
epoch:001 | iter:00133 | Loss: 1.899 | top1Acc: 31.414% 
epoch:001 | iter:00134 | Loss: 1.897 | top1Acc: 31.472% 
epoch:001 | iter:00135 | Loss: 1.895 | top1Acc: 31.574% 
epoch:001 | iter:00136 | Loss: 1.894 | top1Acc: 31.618% 
epoch:001 | iter:00137 | Loss: 1.892 | top1Acc: 31.666% 
epoch:001 | iter:00138 | Loss: 1.890 | top1Acc: 31.771% 
epoch:001 | iter:00139 | Loss: 1.887 | top1Acc: 31.851% 
epoch:001 | iter:00140 | Loss: 1.888 | top1Acc: 31.869% 
epoch:001 | iter:00141 | Loss: 1.886 | top1Acc: 31.965% 
epoch:001 | iter:00142 | Loss: 1.884 | top1Acc: 32.048% 
epoch:001 | iter:00143 | Loss: 1.881 | top1Acc: 32.102% 
epoch:001 | iter:00144 | Loss: 1.879 | top1Acc: 32.183% 
epoch:001 | iter:00145 | Loss: 1.879 | top1Acc: 32.171% 
epoch:001 | iter:00146 | Loss: 1.878 | top1Acc: 32.181% 
epoch:001 | iter:00147 | Loss: 1.876 | top1Acc: 32.281% 
epoch:001 | iter:00148 | Loss: 1.874 | top1Acc: 32.385% 
epoch:001 | iter:00149 | Loss: 1.872 | top1Acc: 32.440% 
epoch:001 | iter:00150 | Loss: 1.871 | top1Acc: 32.484% 
epoch:001 | iter:00151 | Loss: 1.869 | top1Acc: 32.554% 
epoch:001 | iter:00152 | Loss: 1.868 | top1Acc: 32.617% 
epoch:001 | iter:00153 | Loss: 1.866 | top1Acc: 32.695% 
epoch:001 | iter:00154 | Loss: 1.864 | top1Acc: 32.797% 
epoch:001 | iter:00155 | Loss: 1.862 | top1Acc: 32.893% 
epoch:001 | iter:00156 | Loss: 1.860 | top1Acc: 32.958% 
epoch:001 | iter:00157 | Loss: 1.857 | top1Acc: 33.071% 
epoch:001 | iter:00158 | Loss: 1.855 | top1Acc: 33.164% 
epoch:001 | iter:00159 | Loss: 1.853 | top1Acc: 33.196% 
epoch:001 | iter:00160 | Loss: 1.852 | top1Acc: 33.228% 
epoch:001 | iter:00161 | Loss: 1.851 | top1Acc: 33.259% 
epoch:001 | iter:00162 | Loss: 1.849 | top1Acc: 33.324% 
epoch:001 | iter:00163 | Loss: 1.847 | top1Acc: 33.407% 
epoch:001 | iter:00164 | Loss: 1.844 | top1Acc: 33.494% 
epoch:001 | iter:00165 | Loss: 1.842 | top1Acc: 33.589% 
epoch:001 | iter:00166 | Loss: 1.839 | top1Acc: 33.669% 
epoch:001 | iter:00167 | Loss: 1.837 | top1Acc: 33.757% 
